date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:05	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Sep%202019%2013:50:05%20GMT	http://thememinister.com/robots.txt		(from )
14:50:06	61918/61918	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2017:12:34%20GMT	http://thememinister.com/health/	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/index.html	(from )
14:50:07	18107/18107	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2016:53:16%20GMT	http://thememinister.com/health/assets/dist/img/ico/favicon.png	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/dist/img/ico/favicon.png	(from http://thememinister.com/health/)
14:50:11	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2015:53:28%20GMT	http://thememinister.com/health/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/bootstrap/css/bootstrap.min.css	(from http://thememinister.com/health/)
14:50:12	253668/253668	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2013:55:56%20GMT	http://thememinister.com/health/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	(from http://thememinister.com/health/)
14:50:13	11783/11783	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202017%2015:28:36%20GMT	http://thememinister.com/health/assets/plugins/lobipanel/lobipanel.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/lobipanel/lobipanel.min.css	(from http://thememinister.com/health/)
14:50:13	2201/2201	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202017%2014:30:38%20GMT	http://thememinister.com/health/assets/plugins/pace/flash.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/pace/flash.css	(from http://thememinister.com/health/)
14:50:13	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Dec%202016%2012:42:22%20GMT	http://thememinister.com/health/assets/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/font-awesome/css/font-awesome.min.css	(from http://thememinister.com/health/)
14:50:14	9742/9742	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Dec%202016%2015:59:52%20GMT	http://thememinister.com/health/assets/pe-icon-7-stroke/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from http://thememinister.com/health/)
14:50:14	17554/17554	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202017%2013:29:20%20GMT	http://thememinister.com/health/assets/themify-icons/themify-icons.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/themify-icons/themify-icons.css	(from http://thememinister.com/health/)
14:50:15	8047/8047	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202017%2015:02:42%20GMT	http://thememinister.com/health/assets/plugins/toastr/toastr.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/toastr/toastr.css	(from http://thememinister.com/health/)
14:50:15	20330/20330	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202017%2013:08:24%20GMT	http://thememinister.com/health/assets/plugins/emojionearea/emojionearea.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/emojionearea/emojionearea.min.css	(from http://thememinister.com/health/)
14:50:15	9912/9912	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2012:52:00%20GMT	http://thememinister.com/health/assets/plugins/monthly/monthly.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/plugins/monthly/monthly.css	(from http://thememinister.com/health/)
14:50:16	80283/80283	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20May%202017%2017:09:58%20GMT	http://thememinister.com/health/assets/dist/css/stylehealth.min.css	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/dist/css/stylehealth.min.css	(from http://thememinister.com/health/)
14:50:17	10301/10301	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Mar%202017%2014:42:58%20GMT	http://thememinister.com/health/assets/dist/img/mini-logo.png	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/dist/img/mini-logo.png	(from http://thememinister.com/health/)
14:50:18	61918/61918	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2017:12:34%20GMT	http://thememinister.com/health/index.html	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/index-2.html	(from http://thememinister.com/health/)
14:50:19	20402/20402	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2016:13:46%20GMT	http://thememinister.com/health/assets/dist/img/logo.png	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/dist/img/logo.png	(from http://thememinister.com/health/)
14:50:20	18063/18063	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202017%2013:48:56%20GMT	http://thememinister.com/health/assets/dist/img/nocontrol.png	C:/My%20Web%20Sites/HOSPITAL%20SITE/thememinister.com/health/assets/dist/img/nocontrol.png	(from http://thememinister.com/health/)
